titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
REJOUIS-TOI, JOSEPH;1986;ULH95;EX95;CFC;;GELINEAU;SODEC;;3018;;*;
REJOUIS-TOI, JOSEPH;2004;EX47-88-2;;CFC (BERTHET N.);;ROBERT;KINNOR;;12248;*;;
REJOUIS-TOI, JOSEPH;2021;EX47-88-3;;CFC (BERTHET N.);;PINAULT;JUBILUS-VOIX NOUVELLES EDITIONS;;19951;*;;
REJOUIS-TOI, LE ROYAUME DES CIEUX T'APPARTIENT;1992;M509;X549;BERNARD;;AUBRY;LE TRIFORIUM;;4737;;*;
REJOUIS-TOI, MARIE;1900;V144;;PLAISANTIN;;PLAISANTIN;STUDIO SM;;3016;;*;
REJOUIS-TOI, MARIE;1986;V595;VX595;LA PIERRE QUI VIRE;;CAILLAT;STUDIO SM;;3019;;*;
REJOUIS-TOI, MARIE;1976;V518;;DOMAINE PUBLIC;;HAUGUEL - TRADITION ORIENTALE;EDITIONS DE L'EMMANUEL;;3020;*;;
REJOUIS-TOI, MARIE;1992;V613;;MAYOL;;MAYOL;LE SENEVE (DDB);ENFANTS;4230;;*;
REJOUIS-TOI, MARIE;1993;V11-90;DEV288;GAMBARELLI;;WACKENHEIM;STUDIO SM;;4568;*;;
REJOUIS-TOI, MARIE;1980;V512;;ROZE;;ROZE;EDITIONS DE L'EMMANUEL;;4830;*;;
REJOUIS-TOI, MARIE;1981;XL670;;AELF;;BERTHIER;STUDIO SM;;5215;;*;
REJOUIS-TOI, MARIE;1996;V22-59;;DOMAINE PUBLIC;;WACKENHEIM;STUDIO SM;;8177;*;;
REJOUIS-TOI, MARIE;1996;V23-69;;DOMAINE PUBLIC;;WARNIER;STUDIO SM;;8305;;*;
REJOUIS-TOI, MARIE;2000;V23-69-3;;DOMAINE PUBLIC;;PLOYE;STUDIO SM;;9810;*;;
REJOUIS-TOI, MARIE;2000;V23-69-4;;DOMAINE PUBLIC;;PROPHETTE;KINNOR;;10248;*;;
REJOUIS-TOI, MARIE;2002;V23-69-5;;DOMAINE PUBLIC;;DECLEIRE;JUBILUS-VOIX NOUVELLES EDITIONS;;11039;;*;
